pipeline,s2,s3,s4,makespan,makespan_sched,cp_comm,max_load,edge_cut,load_imbalance,connected,valid,max_imem,imem_ok,n_gpus_used,omega,ratio_to_omega,time_s,error,error_code,asgn_hash,tb_hash,unique_hw_sim,tb_fname
2b|3e,2b,3e,,309,309,552.0,18,511,1.800352,True,True,40,True,512,147,2.102,5.425,,E_OK,dab1b84ca012d062774aea2d82c74cd1a3c7c508fe89f9609bcafcd6ebde7fbd,d65cb4d476fe9d9becd62e005710213309cf86b18e22f3db38203cae8510e202,True,tb_2b_3e_none
2p|3b,2p,3b,,309,309,552.0,19,511,1.900371,True,True,40,True,512,147,2.102,0.884,,E_OK,3983962c8526a9a22ce35f7f7e929542c5d9c0161c7a1d81e306641147925e8e,64e82db8961d7a0418511a37e46667166585ec414ce3caacce4b4083e19eb507,True,tb_2p_3b_none
2b|3b,2b,3b,,311,311,552.0,18,511,1.800352,True,True,40,True,512,147,2.1156,0.984,,E_OK,dab1b84ca012d062774aea2d82c74cd1a3c7c508fe89f9609bcafcd6ebde7fbd,6ef10256cb6c726dd230b6adca520274ebe94777e25746f50c473d930fea6308,True,tb_2b_3b_none
2b|3i,2b,3i,,316,316,552.0,18,511,1.800352,True,True,43,True,512,147,2.1497,25.517,,E_OK,dab1b84ca012d062774aea2d82c74cd1a3c7c508fe89f9609bcafcd6ebde7fbd,f42b341620d17c56d680046518c4528b9e4c9b709c4168f6e6838d4cde133bc3,True,tb_2b_3i_none
2p|3i,2p,3i,,317,317,552.0,19,511,1.900371,True,True,43,True,512,147,2.1565,23.464,,E_OK,3983962c8526a9a22ce35f7f7e929542c5d9c0161c7a1d81e306641147925e8e,d5363b388a50cc5bd11b6dd926ef8b3354132c5d6c9e4837ef55159334dabd60,True,tb_2p_3i_none
2p|3e,2p,3e,,318,318,552.0,19,511,1.900371,True,True,40,True,512,147,2.1633,6.987,,E_OK,3983962c8526a9a22ce35f7f7e929542c5d9c0161c7a1d81e306641147925e8e,74b1b927825dc6227ea78aaefe6ccd8cb6fded837a846d3261b994ef6c1d8351,True,tb_2p_3e_none
2l|3b,2l,3b,,327,327,505.0,19,511,1.900371,True,True,28,True,512,147,2.2245,0.857,,E_OK,7b662824e6323b36278e2abefab7406a4b214fb9ac64868161c86012082c9ffb,301aa98133ce420f44cd18f1119c700bdee389b72f6434c5a398ffb2da1d502f,True,tb_2l_3b_none
2l|3e,2l,3e,,332,332,505.0,19,511,1.900371,True,True,28,True,512,147,2.2585,5.63,,E_OK,7b662824e6323b36278e2abefab7406a4b214fb9ac64868161c86012082c9ffb,f8ef45686c79721063c39022af268bbc3f8028fecb519728ecf0ed62e38cb606,True,tb_2l_3e_none
2j|3f,2j,3f,,335,335,547.0,19,511,1.900371,True,True,28,True,512,147,2.2789,0.942,,E_OK,71b87dee8943ad7cbd119cc73b8ff5035cb92fb5f808f56e098ef4d06462c277,358a3462d60614e48c88ba0e152277d755c35c7324a218c4d4016c60c6ca8946,False,
2o|3i,2o,3i,,338,338,552.0,18,511,1.800352,True,True,67,True,512,147,2.2993,25.652,,E_OK,ddf70554f58da1c27a8113b02ea895e47277d049cbf78e85d0c3935904500f5e,d44dfe8eb6357440d9c9c8f16f9cae3e200022cde13cceb0bab4c0e6f808c5cc,True,tb_2o_3i_none
2o|3e,2o,3e,,339,339,552.0,18,511,1.800352,True,True,67,True,512,147,2.3061,5.553,,E_OK,ddf70554f58da1c27a8113b02ea895e47277d049cbf78e85d0c3935904500f5e,b2a63059450459a8255c989a34f3a57301405c34b8c8d482af8a596270247181,True,tb_2o_3e_none
2g|3j,2g,3j,,339,339,534.0,15,528,1.500293,False,True,39,True,512,147,2.3061,408.961,,E_OK,afcbec14c4f07d31c969d4bea70b825a92d2706edddd1af7e4bddf9ddf4095fe,c0b3ceeaee62356f2d9bcff7c429c3bee6e7af95fc3e1804901e46ee69ad57db,True,tb_2g_3j_none
2g|3e,2g,3e,,341,341,534.0,15,528,1.500293,False,True,26,True,512,147,2.3197,10.962,,E_OK,afcbec14c4f07d31c969d4bea70b825a92d2706edddd1af7e4bddf9ddf4095fe,c5dde4cc088f436b4967e77aee7cfde6b1ee0f646e88d2ccdddf8365345d1eb2,True,tb_2g_3e_none
